customer_id,first_name,last_name,id_number,date_of_birth,gender,email,phone,province,city,registration_date,customer_segment,kyc_status,risk_rating,is_active
C0001,Naledi,Nkosi,6611248935089,1987-11-08,M,naledi.nkosi224@gmail.com,+27679478454,Free State,Bloemfontein,2015-08-06,PREMIUM,VERIFIED,MEDIUM,True
C0002,Dumisani,Jacobs,0512145574182,1969-04-26,F,dumisani.jacobs390@gmail.com,+27637022674,Free State,Bloemfontein,2022-09-18,PREMIUM,VERIFIED,MEDIUM,True
C0003,Lwazi,Zulu,1906193150080,1970-06-12,F,lwazi.zulu888@gmail.com,+27637377459,Northern Cape,Upington,2021-03-27,RETAIL,VERIFIED,LOW,True
C0004,Busisiwe,Mahlangu,0703156216188,1969-09-14,F,busisiwe.mahlangu842@gmail.com,+27616292423,Western Cape,Stellenbosch,2023-12-31,RETAIL,VERIFIED,HIGH,True
C0005,Khethukuthula,Molefe,2008054339083,2000-05-12,F,khethukuthula_molefe920@hotmail.com,+27827700828,North West,Mahikeng,2023-02-13,RETAIL,EXPIRED,LOW,True
C0006,Lerato,Cele,2511149771086,1984-03-27,F,lerato_cele995@hotmail.com,+27811192619,Western Cape,Stellenbosch,2017-07-27,PREMIUM,VERIFIED,LOW,True
C0007,Naledi,Ngcobo,2312098201088,1959-07-19,F,naledingcobo204@hotmail.com,+27647273233,Mpumalanga,Nelspruit,2018-08-16,PREMIUM,VERIFIED,LOW,True
C0008,Khethukuthula,Botha,2605080949089,1957-01-24,M,khethukuthula.botha779@icloud.com,+27813109911,Gauteng,Johannesburg,2017-11-17,PREMIUM,PENDING,LOW,True
C0009,Nonhlanhla,Molefe,1211216118188,1990-07-04,M,nonhlanhla.molefe66@yahoo.com,+27711352896,Northern Cape,Kimberley,2020-02-29,PREMIUM,VERIFIED,MEDIUM,True
C0010,Bongani,Zwane,7505227953088,1961-11-14,F,bongani_zwane827@yahoo.com,+27744194548,Gauteng,Sandton,2017-02-11,RETAIL,VERIFIED,LOW,True
C0011,Lerato,Petersen,1002083139088,1990-04-01,M,lerato.petersen286@icloud.com,+27765191056,Western Cape,Cape Town,2016-09-09,RETAIL,PENDING,LOW,True
C0012,Anele,Radebe,0703147956183,1985-12-24,M,anele_radebe3@yahoo.com,+27735449368,Gauteng,Johannesburg,2025-03-16,RETAIL,VERIFIED,MEDIUM,True
C0013,Mthunzi,Mkhize,6310248883085,1955-02-17,M,mthunzi_mkhize515@hotmail.com,+27793641282,Eastern Cape,East London,2016-04-10,CORPORATE,VERIFIED,LOW,True
C0014,Nokuthula,Naidoo,0110036868184,1968-04-29,F,nokuthula_naidoo406@yahoo.com,+27646033115,Western Cape,Stellenbosch,2025-04-03,RETAIL,VERIFIED,LOW,True
C0015,Sandile,Ndlovu,0406034002184,1964-02-26,F,sandilendlovu310@hotmail.com,+27839874152,Western Cape,Stellenbosch,2015-03-06,PREMIUM,VERIFIED,HIGH,True
C0016,Kagiso,Sithole,0405109909085,1968-04-07,F,kagiso_sithole258@hotmail.com,+27612548511,Western Cape,Cape Town,2024-07-01,PRIVATE_WEALTH,VERIFIED,LOW,True
C0017,Themba,Mokoena,0302232442085,2002-04-05,M,themba.mokoena43@icloud.com,+27697117837,North West,Mahikeng,2015-11-23,PRIVATE_WEALTH,VERIFIED,LOW,True
C0018,Nokukhanya,Zwane,0703262900180,1966-02-03,F,nokukhanyazwane885@icloud.com,+27675476257,Mpumalanga,Nelspruit,2018-07-28,PREMIUM,VERIFIED,MEDIUM,True
C0019,Mpho,Molefe,2504080387086,1979-06-14,F,mpho_molefe360@gmail.com,+27849546409,North West,Mahikeng,2023-12-19,PREMIUM,VERIFIED,LOW,True
C0020,Themba,Mokoena,8706245139189,1995-11-19,M,thembamokoena195@icloud.com,+27681744682,Free State,Bloemfontein,2024-10-12,RETAIL,PENDING,LOW,True
